iter	Passed	Remaining
1187	22639	15473
1188	22657	15454
1189	22675	15434
1190	22692	15414
1191	22710	15394
1192	22728	15374
1193	22745	15353
1194	22762	15333
1195	22779	15313
1196	22800	15295
1197	22818	15275
1198	22835	15255
1199	22853	15235
1200	22871	15215
1201	22890	15196
1202	22908	15177
1203	22929	15159
1204	22947	15139
1205	22970	15123
1206	22991	15105
1207	23009	15085
1208	23027	15066
1209	23046	15046
1210	23063	15026
1211	23080	15006
1212	23097	14985
1213	23114	14965
1214	23132	14945
1215	23150	14925
1216	23171	14908
1217	23192	14890
1218	23210	14870
1219	23228	14850
1220	23245	14830
1221	23262	14810
1222	23281	14791
1223	23300	14772
1224	23317	14752
1225	23335	14732
1226	23353	14712
1227	23371	14692
1228	23388	14672
1229	23409	14654
1230	23427	14634
1231	23452	14619
1232	23493	14614
1233	23512	14595
1234	23531	14576
1235	23549	14556
1236	23566	14536
1237	23583	14516
1238	23603	14497
1239	23622	14478
1240	23640	14458
1241	23657	14438
1242	23675	14418
1243	23693	14399
1244	23711	14379
1245	23728	14358
1246	23746	14339
1247	23763	14319
1248	23781	14299
1249	23800	14280
1250	23818	14260
1251	23835	14240
1252	23853	14220
1253	23870	14200
1254	23888	14180
1255	23906	14161
1256	23926	14142
1257	23943	14122
1258	23961	14102
1259	23984	14086
1260	24001	14066
1261	24023	14048
1262	24044	14030
1263	24061	14010
1264	24079	13990
1265	24097	13970
1266	24112	13950
1267	24131	13930
1268	24148	13910
1269	24165	13890
1270	24182	13870
1271	24199	13850
1272	24218	13830
1273	24236	13811
1274	24255	13792
1275	24273	13772
1276	24290	13752
1277	24307	13732
1278	24324	13712
1279	24342	13692
1280	24361	13673
1281	24378	13653
1282	24395	13633
1283	24412	13613
1284	24431	13593
1285	24448	13574
1286	24465	13553
1287	24514	13551
1288	24534	13533
1289	24552	13513
1290	24572	13494
1291	24590	13475
1292	24607	13455
1293	24625	13435
1294	24642	13415
1295	24659	13395
1296	24676	13374
1297	24694	13355
1298	24713	13336
1299	24730	13316
1300	24749	13297
1301	24766	13277
1302	24783	13257
1303	24801	13237
1304	24818	13217
1305	24835	13197
1306	24853	13177
1307	24869	13157
1308	24888	13138
1309	24908	13119
1310	24925	13099
1311	24946	13081
1312	24968	13064
1313	24988	13045
1314	25005	13025
1315	25022	13005
1316	25040	12986
1317	25058	12966
1318	25076	12947
1319	25096	12928
1320	25114	12908
1321	25131	12888
1322	25148	12868
1323	25165	12848
1324	25183	12829
1325	25200	12809
1326	25217	12789
1327	25234	12769
1328	25253	12750
1329	25270	12730
1330	25288	12710
1331	25306	12691
1332	25323	12671
1333	25342	12652
1334	25358	12631
1335	25376	12612
1336	25394	12592
1337	25413	12573
1338	25430	12553
1339	25447	12533
1340	25466	12514
1341	25483	12495
1342	25501	12475
1343	25556	12474
1344	25575	12454
1345	25593	12435
1346	25610	12415
1347	25629	12396
1348	25647	12376
1349	25663	12356
1350	25680	12336
1351	25698	12316
1352	25715	12297
1353	25733	12277
1354	25750	12257
1355	25768	12237
1356	25786	12218
1357	25804	12199
1358	25823	12179
1359	25842	12161
1360	25859	12141
1361	25876	12121
1362	25895	12102
1363	25916	12084
1364	25934	12064
1365	25953	12045
1366	25973	12027
1367	25992	12008
1368	26009	11988
1369	26026	11968
1370	26044	11948
1371	26061	11929
1372	26079	11909
1373	26096	11889
1374	26113	11869
1375	26131	11850
1376	26149	11830
1377	26174	11814
1378	26206	11801
1379	26222	11781
1380	26239	11761
1381	26258	11742
1382	26277	11723
1383	26295	11703
1384	26313	11684
1385	26330	11664
1386	26353	11647
1387	26380	11631
1388	26396	11611
1389	26414	11591
1390	26431	11571
1391	26447	11551
1392	26465	11532
1393	26482	11512
1394	26499	11492
1395	26516	11472
1396	26534	11453
1397	26565	11439
1398	26604	11429
1399	26621	11409
1400	26639	11389
1401	26657	11370
1402	26676	11351
1403	26693	11331
1404	26710	11311
1405	26726	11291
1406	26743	11271
1407	26761	11251
1408	26780	11233
1409	26798	11213
1410	26816	11194
1411	26834	11174
1412	26853	11155
1413	26870	11135
1414	26890	11117
1415	26911	11098
1416	26929	11079
1417	26949	11060
1418	26968	11042
1419	26986	11022
